===
Lewis VS. Stein
Battle 1: Lewis (AC) DEFEATED Stein (KH) : Lewis 27, Stein 25
Battle 119: Person (KC) DEFEATED Other guy (2D) : Person 25, Other guy 27
Battle 120: Other guy (8C) DEFEATED Person (6D) : Person 24, Other guy 28
Battle 121: Person (JS) DEFEATED Other guy (9D) : Person 25, Other guy 27
Battle 122: Other guy (AC) DEFEATED Person (7C) : Person 24, Other guy 28
Battle 123: Person (QD) DEFEATED Other guy (4C) : Person 25, Other guy 27
Battle 124: Other guy (TC) DEFEATED Person (9S) : Person 24, Other guy 28
Battle 125: Person (QH) DEFEATED Other guy (6S) : Person 25, Other guy 27
Battle 126: Person (JH) DEFEATED Other guy (9H) : Person 26, Other guy 26
Battle 127: Person (8D) DEFEATED Other guy (2H) : Person 27, Other guy 25
Battle 128: Other guy (3D) TIED Person (3C) : Person 22, Other guy 30
Battle 129: Person (TD) DEFEATED Other guy (7D) : Person 23, Other guy 29
Battle 130: Other guy (JC) DEFEATED Person (5S) : Person 22, Other guy 30
Battle 131: Person (AD) DEFEATED Other guy (6H) : Person 23, Other guy 29
Battle 132: Other guy (AS) DEFEATED Person (4D) : Person 22, Other guy 30
Battle 133: Person (KH) DEFEATED Other guy (8H) : Person 23, Other guy 29
Battle 134: Other guy (QS) DEFEATED Person (5D) : Person 22, Other guy 30
Battle 135: Person (AH) DEFEATED Other guy (3S) : Person 23, Other guy 29
Battle 136: Person (TH) DEFEATED Other guy (4H) : Person 24, Other guy 28
Battle 137: Person (7S) DEFEATED Other guy (2C) : Person 25, Other guy 27
Battle 138: Other guy (QC) DEFEATED Person (3H) : Person 24, Other guy 28
Battle 139: Person (KC) DEFEATED Other guy (8S) : Person 25, Other guy 27
Battle 140: Other guy (KD) DEFEATED Person (2D) : Person 24, Other guy 28
Battle 141: Person (JS) DEFEATED Other guy (2S) : Person 25, Other guy 27
Battle 142: Person (9D) DEFEATED Other guy (7H) : Person 26, Other guy 26
Battle 143: Person (QD) DEFEATED Other guy (6D) : Person 27, Other guy 25
Battle 144: Other guy (8C) DEFEATED Person (4C) : Person 26, Other guy 26
Battle 145: Person (QH) DEFEATED Other guy (7C) : Person 27, Other guy 25
Battle 146: Other guy (AC) DEFEATED Person (6S) : Person 26, Other guy 26
Battle 147: Person (JH) DEFEATED Other guy (9S) : Person 27, Other guy 25
Battle 148: Other guy (TC) DEFEATED Person (9H) : Person 26, Other guy 26
Battle 149: Person (8D) DEFEATED Other guy (3C) : Person 27, Other guy 25
Battle 150: Other guy (3D) DEFEATED Person (2H) : Person 26, Other guy 26
Battle 151: Other guy (TS) TIED Person (TD) : Person 31, Other guy 21
Battle 152: Person (8H) DEFEATED Other guy (6C) : Person 32, Other guy 20
Battle 153: Person (AH) DEFEATED Other guy (5C) : Person 33, Other guy 19
Battle 154: Other guy (JD) DEFEATED Person (3S) : Person 32, Other guy 20
Battle 155: Person (TH) DEFEATED Other guy (5S) : Person 33, Other guy 19
Battle 156: Other guy (JC) DEFEATED Person (4H) : Person 32, Other guy 20
Battle 157: Person (7S) DEFEATED Other guy (4D) : Person 33, Other guy 19
Battle 158: Other guy (AS) DEFEATED Person (2C) : Person 32, Other guy 20
Battle 159: Person (KC) DEFEATED Other guy (5D) : Person 33, Other guy 19
Battle 160: Other guy (QS) DEFEATED Person (8S) : Person 32, Other guy 20
Battle 161: Person (JS) DEFEATED Other guy (3H) : Person 33, Other guy 19
Battle 162: Other guy (QC) DEFEATED Person (2S) : Person 32, Other guy 20
Battle 163: Person (9D) DEFEATED Other guy (2D) : Person 33, Other guy 19
Battle 164: Other guy (KD) DEFEATED Person (7H) : Person 32, Other guy 20
Battle 165: Person (QD) DEFEATED Other guy (4C) : Person 33, Other guy 19
Battle 166: Other guy (8C) DEFEATED Person (6D) : Person 32, Other guy 20
Battle 167: Person (QH) DEFEATED Other guy (6S) : Person 33, Other guy 19
Battle 168: Other guy (AC) DEFEATED Person (7C) : Person 32, Other guy 20
Battle 169: Person (JH) DEFEATED Other guy (9H) : Person 33, Other guy 19
Battle 170: Other guy (TC) DEFEATED Person (9S) : Person 32, Other guy 20
Battle 171: Person (8D) DEFEATED Other guy (2H) : Person 33, Other guy 19
Battle 172: Other guy (3D) TIED Person (3C) : Person 38, Other guy 14
Battle 173: Person (6H) DEFEATED Other guy (2C) : Person 39, Other guy 13
Battle 174: Other guy (AS) DEFEATED Person (KH) : Person 38, Other guy 14
Battle 175: Other guy (8S) DEFEATED Person (4S) : Person 37, Other guy 15
Battle 176: Person (KS) DEFEATED Other guy (QS) : Person 38, Other guy 14
Battle 177: Person (9C) DEFEATED Other guy (2S) : Person 39, Other guy 13
Battle 178: Other guy (QC) DEFEATED Person (5H) : Person 38, Other guy 14
Battle 179: Person (8H) DEFEATED Other guy (7H) : Person 39, Other guy 13
Battle 180: Other guy (KD) DEFEATED Person (6C) : Person 38, Other guy 14
Battle 181: Person (AH) DEFEATED Other guy (6D) : Person 39, Other guy 13
Battle 182: Other guy (8C) DEFEATED Person (5C) : Person 38, Other guy 14
Battle 183: Person (TH) DEFEATED Other guy (7C) : Person 39, Other guy 13
Battle 184: Other guy (AC) DEFEATED Person (5S) : Person 38, Other guy 14
Battle 185: Other guy (9S) DEFEATED Person (7S) : Person 37, Other guy 15
Battle 186: Other guy (TC) DEFEATED Person (4D) : Person 36, Other guy 16
Battle 187: Other guy (KH) TIED Person (KC) : Person 41, Other guy 11
Battle 188: Other guy (QC) DEFEATED Person (2D) : Person 40, Other guy 12
Battle 189: Person (QD) DEFEATED Other guy (6C) : Person 41, Other guy 11
Battle 190: Other guy (KD) DEFEATED Person (4C) : Person 40, Other guy 12
Battle 191: Person (QH) DEFEATED Other guy (5C) : Person 41, Other guy 11
Battle 192: Other guy (8C) DEFEATED Person (6S) : Person 40, Other guy 12
Battle 193: Person (JH) DEFEATED Other guy (5S) : Person 41, Other guy 11
Battle 194: Other guy (AC) DEFEATED Person (9H) : Person 40, Other guy 12
Battle 195: Person (8D) DEFEATED Other guy (7S) : Person 41, Other guy 11
Battle 196: Other guy (9S) DEFEATED Person (2H) : Person 40, Other guy 12
Battle 197: Other guy (4D) DEFEATED Person (3C) : Person 39, Other guy 13
Battle 198: Other guy (TC) DEFEATED Person (3D) : Person 38, Other guy 14
Battle 199: Person (TD) DEFEATED Other guy (2D) : Person 39, Other guy 13
Battle 200: Other guy (QC) DEFEATED Person (TS) : Person 38, Other guy 14
Battle 201: Person (7D) DEFEATED Other guy (4C) : Person 39, Other guy 13
Battle 202: Person (AD) DEFEATED Other guy (KD) : Person 40, Other guy 12
Battle 203: Other guy (6S) DEFEATED Person (3S) : Person 39, Other guy 13
Battle 204: Person (JD) DEFEATED Other guy (8C) : Person 40, Other guy 12
Battle 205: Other guy (9H) DEFEATED Person (4H) : Person 39, Other guy 13
Battle 206: Other guy (AC) DEFEATED Person (JC) : Person 38, Other guy 14
Battle 207: Person (6H) DEFEATED Other guy (2H) : Person 39, Other guy 13
Battle 208: Other guy (9S) DEFEATED Person (2C) : Person 38, Other guy 14
Battle 209: Person (KS) DEFEATED Other guy (3C) : Person 39, Other guy 13
Battle 210: Person (QS) DEFEATED Other guy (4D) : Person 40, Other guy 12
Battle 211: Person (9C) DEFEATED Other guy (3D) : Person 41, Other guy 11
Battle 212: Other guy (TC) DEFEATED Person (2S) : Person 40, Other guy 12
Battle 213: Other guy (TS) DEFEATED Person (8H) : Person 39, Other guy 13
Battle 214: Other guy (QC) DEFEATED Person (7H) : Person 38, Other guy 14
Battle 215: Person (AH) DEFEATED Other guy (3S) : Person 39, Other guy 13
Battle 216: Other guy (6S) TIED Person (6D) : Person 34, Other guy 18
Battle 217: Person (5D) DEFEATED Other guy (2C) : Person 35, Other guy 17
Battle 218: Person (JS) DEFEATED Other guy (9S) : Person 36, Other guy 16
Battle 219: Person (3H) DEFEATED Other guy (2S) : Person 37, Other guy 15
Battle 220: Other guy (TC) DEFEATED Person (9D) : Person 36, Other guy 16
Battle 221: Person (AS) DEFEATED Other guy (8H) : Person 37, Other guy 15
Battle 222: Other guy (TS) DEFEATED Person (4S) : Person 36, Other guy 16
Battle 223: Person (8S) DEFEATED Other guy (7H) : Person 37, Other guy 15
Battle 224: Other guy (QC) DEFEATED Person (5H) : Person 36, Other guy 16
Battle 225: Person (QD) DEFEATED Other guy (6D) : Person 37, Other guy 15
Battle 226: Other guy (6S) TIED Person (6C) : Person 32, Other guy 20
Battle 227: Person (8D) DEFEATED Other guy (4H) : Person 33, Other guy 19
Battle 228: Other guy (9H) DEFEATED Person (7S) : Person 32, Other guy 20
Battle 229: Other guy (JC) DEFEATED Person (TD) : Person 31, Other guy 21
Battle 230: Other guy (AC) DEFEATED Person (2D) : Person 30, Other guy 22
Battle 231: Other guy (9D) DEFEATED Person (7D) : Person 29, Other guy 23
Battle 232: Other guy (TC) DEFEATED Person (4C) : Person 28, Other guy 24
Battle 233: Person (AD) DEFEATED Other guy (4S) : Person 29, Other guy 23
Battle 234: Person (KD) DEFEATED Other guy (TS) : Person 30, Other guy 22
Battle 235: Person (JD) DEFEATED Other guy (5H) : Person 31, Other guy 21
Battle 236: Other guy (QC) DEFEATED Person (8C) : Person 30, Other guy 22
Battle 237: Other guy (6C) TIED Person (6H) : Person 35, Other guy 17
Battle 238: Other guy (5S) DEFEATED Person (4D) : Person 34, Other guy 18
Battle 239: Other guy (TH) DEFEATED Person (9C) : Person 33, Other guy 19
Battle 240: Other guy (7C) DEFEATED Person (3D) : Person 32, Other guy 20
Battle 241: Person (AH) DEFEATED Other guy (KC) : Person 33, Other guy 19
Battle 242: Other guy (KH) DEFEATED Person (3S) : Person 32, Other guy 20
Battle 243: Other guy (7S) DEFEATED Person (5D) : Person 31, Other guy 21
Battle 244: Other guy (9H) DEFEATED Person (2C) : Person 30, Other guy 22
Battle 245: Person (JS) DEFEATED Other guy (TD) : Person 31, Other guy 21
Battle 246: Other guy (JC) DEFEATED Person (9S) : Person 30, Other guy 22
Battle 247: Person (3H) DEFEATED Other guy (2D) : Person 31, Other guy 21
Battle 248: Other guy (AC) DEFEATED Person (2S) : Person 30, Other guy 22
Battle 249: Person (AS) DEFEATED Other guy (7D) : Person 31, Other guy 21
Battle 250: Other guy (9D) DEFEATED Person (8H) : Person 30, Other guy 22
Battle 251: Person (8S) DEFEATED Other guy (4C) : Person 31, Other guy 21
Battle 252: Other guy (TC) DEFEATED Person (7H) : Person 30, Other guy 22
Battle 253: Person (QD) DEFEATED Other guy (8C) : Person 31, Other guy 21
Battle 254: Other guy (QC) DEFEATED Person (6D) : Person 30, Other guy 22
Battle 255: Person (8D) DEFEATED Other guy (4D) : Person 31, Other guy 21
Battle 256: Other guy (5S) DEFEATED Person (4H) : Person 30, Other guy 22
Battle 257: Person (AD) DEFEATED Other guy (9C) : Person 31, Other guy 21
Battle 258: Other guy (TH) DEFEATED Person (4S) : Person 30, Other guy 22
Battle 259: Person (KD) DEFEATED Other guy (3D) : Person 31, Other guy 21
Battle 260: Person (TS) DEFEATED Other guy (7C) : Person 32, Other guy 20
Battle 261: Person (JD) DEFEATED Other guy (3S) : Person 33, Other guy 19
Battle 262: Other guy (KH) DEFEATED Person (5H) : Person 32, Other guy 20
Battle 263: Person (6H) DEFEATED Other guy (5D) : Person 33, Other guy 19
Battle 264: Other guy (7S) DEFEATED Person (6C) : Person 32, Other guy 20
Battle 265: Other guy (2C) TIED Person (2H) : Person 37, Other guy 15
Battle 266: Other guy (AC) DEFEATED Person (QH) : Person 36, Other guy 16
Battle 267: Other guy (8H) DEFEATED Person (5C) : Person 35, Other guy 17
Battle 268: Person (JH) DEFEATED Other guy (9D) : Person 36, Other guy 16
Battle 269: Person (AH) DEFEATED Other guy (7H) : Person 37, Other guy 15
Battle 270: Person (KC) DEFEATED Other guy (TC) : Person 38, Other guy 14
Battle 271: Person (JS) DEFEATED Other guy (6D) : Person 39, Other guy 13
Battle 272: Other guy (QC) DEFEATED Person (TD) : Person 38, Other guy 14
Battle 273: Other guy (4H) DEFEATED Person (3H) : Person 37, Other guy 15
Battle 274: Other guy (5S) DEFEATED Person (2D) : Person 36, Other guy 16
Battle 275: Person (AS) DEFEATED Other guy (4S) : Person 37, Other guy 15
Battle 276: Other guy (TH) DEFEATED Person (7D) : Person 36, Other guy 16
Battle 277: Person (8S) DEFEATED Other guy (5H) : Person 37, Other guy 15
Battle 278: Other guy (KH) DEFEATED Person (4C) : Person 36, Other guy 16
Battle 279: Person (QD) DEFEATED Other guy (6C) : Person 37, Other guy 15
Battle 280: Person (8C) DEFEATED Other guy (7S) : Person 38, Other guy 14
Battle 281: Other guy (QH) DEFEATED Person (8D) : Person 37, Other guy 15
Battle 282: Other guy (AC) DEFEATED Person (4D) : Person 36, Other guy 16
Battle 283: Person (AD) DEFEATED Other guy (5C) : Person 37, Other guy 15
Battle 284: Person (9C) DEFEATED Other guy (8H) : Person 38, Other guy 14
Battle 285: Person (KD) DEFEATED Other guy (TD) : Person 39, Other guy 13
Battle 286: Other guy (QC) DEFEATED Person (3D) : Person 38, Other guy 14
Battle 287: Person (TS) DEFEATED Other guy (3H) : Person 39, Other guy 13
Battle 288: Person (7C) DEFEATED Other guy (4H) : Person 40, Other guy 12
Battle 289: Person (JD) DEFEATED Other guy (2D) : Person 41, Other guy 11
Battle 290: Other guy (5S) DEFEATED Person (3S) : Person 40, Other guy 12
Battle 291: Other guy (7D) DEFEATED Person (6H) : Person 39, Other guy 13
Battle 292: Other guy (TH) DEFEATED Person (5D) : Person 38, Other guy 14
Battle 293: Other guy (4C) DEFEATED Person (2H) : Person 37, Other guy 15
Battle 294: Other guy (KH) DEFEATED Person (2C) : Person 36, Other guy 16
Battle 295: Person (KS) DEFEATED Other guy (8D) : Person 37, Other guy 15
Battle 296: Other guy (QH) DEFEATED Person (3C) : Person 36, Other guy 16
Battle 297: Person (QS) DEFEATED Other guy (4D) : Person 37, Other guy 15
Battle 298: Other guy (AC) DEFEATED Person (6S) : Person 36, Other guy 16
Battle 299: Person (9H) DEFEATED Other guy (3D) : Person 37, Other guy 15
Battle 300: Other guy (QC) DEFEATED Person (9S) : Person 36, Other guy 16
Battle 301: Person (JC) DEFEATED Other guy (3S) : Person 37, Other guy 15
Battle 302: Other guy (5S) DEFEATED Person (2S) : Person 36, Other guy 16
Battle 303: Person (JH) DEFEATED Other guy (6H) : Person 37, Other guy 15
Battle 304: Person (9D) DEFEATED Other guy (7D) : Person 38, Other guy 14
Battle 305: Person (AH) DEFEATED Other guy (5D) : Person 39, Other guy 13
Battle 306: Other guy (TH) DEFEATED Person (7H) : Person 38, Other guy 14
Battle 307: Person (KC) DEFEATED Other guy (2H) : Person 39, Other guy 13
Battle 308: Person (TC) DEFEATED Other guy (4C) : Person 40, Other guy 12
Battle 309: Person (JS) DEFEATED Other guy (2C) : Person 41, Other guy 11
Battle 310: Other guy (KH) DEFEATED Person (6D) : Person 40, Other guy 12
Battle 311: Person (AS) DEFEATED Other guy (3C) : Person 41, Other guy 11
Battle 312: Other guy (QH) DEFEATED Person (4S) : Person 40, Other guy 12
Battle 313: Person (8S) DEFEATED Other guy (6S) : Person 41, Other guy 11
Battle 314: Other guy (AC) DEFEATED Person (5H) : Person 40, Other guy 12
Battle 315: Person (QD) DEFEATED Other guy (9S) : Person 41, Other guy 11
Battle 316: Other guy (QC) DEFEATED Person (6C) : Person 40, Other guy 12
Battle 317: Person (8C) DEFEATED Other guy (2S) : Person 41, Other guy 11
Battle 318: Person (7S) DEFEATED Other guy (5S) : Person 42, Other guy 10
Battle 319: Person (AD) DEFEATED Other guy (7H) : Person 43, Other guy 9
Battle 320: Other guy (TH) DEFEATED Person (5C) : Person 42, Other guy 10
Battle 321: Person (9C) DEFEATED Other guy (6D) : Person 43, Other guy 9
Battle 322: Other guy (KH) DEFEATED Person (8H) : Person 42, Other guy 10
Battle 323: Person (KD) DEFEATED Other guy (4S) : Person 43, Other guy 9
Battle 324: Other guy (QH) DEFEATED Person (TD) : Person 42, Other guy 10
Battle 325: Person (TS) DEFEATED Other guy (5H) : Person 43, Other guy 9
Battle 326: Other guy (AC) DEFEATED Person (3H) : Person 42, Other guy 10
Battle 327: Person (7C) DEFEATED Other guy (6C) : Person 43, Other guy 9
Battle 328: Other guy (QC) DEFEATED Person (4H) : Person 42, Other guy 10
Battle 329: Person (JD) DEFEATED Other guy (5C) : Person 43, Other guy 9
Battle 330: Other guy (TH) DEFEATED Person (2D) : Person 42, Other guy 10
Battle 331: Person (KS) DEFEATED Other guy (8H) : Person 43, Other guy 9
Battle 332: Other guy (KH) DEFEATED Person (8D) : Person 42, Other guy 10
Battle 333: Person (QS) DEFEATED Other guy (TD) : Person 43, Other guy 9
Battle 334: Other guy (QH) DEFEATED Person (4D) : Person 42, Other guy 10
Battle 335: Person (9H) DEFEATED Other guy (3H) : Person 43, Other guy 9
Battle 336: Other guy (AC) DEFEATED Person (3D) : Person 42, Other guy 10
Battle 337: Person (JC) DEFEATED Other guy (4H) : Person 43, Other guy 9
Battle 338: Other guy (QC) DEFEATED Person (3S) : Person 42, Other guy 10
Battle 339: Person (JH) DEFEATED Other guy (2D) : Person 43, Other guy 9
Battle 340: Other guy (TH) DEFEATED Person (6H) : Person 42, Other guy 10
Battle 341: Person (9D) DEFEATED Other guy (8D) : Person 43, Other guy 9
Battle 342: Other guy (KH) DEFEATED Person (7D) : Person 42, Other guy 10
Battle 343: Person (AH) DEFEATED Other guy (4D) : Person 43, Other guy 9
Battle 344: Other guy (QH) DEFEATED Person (5D) : Person 42, Other guy 10
Battle 345: Person (KC) DEFEATED Other guy (3D) : Person 43, Other guy 9
Battle 346: Other guy (AC) DEFEATED Person (2H) : Person 42, Other guy 10
Battle 347: Person (TC) DEFEATED Other guy (3S) : Person 43, Other guy 9
Battle 348: Other guy (QC) DEFEATED Person (4C) : Person 42, Other guy 10
Battle 349: Person (JS) DEFEATED Other guy (6H) : Person 43, Other guy 9
Battle 350: Other guy (TH) DEFEATED Person (2C) : Person 42, Other guy 10
Battle 351: Person (AS) DEFEATED Other guy (7D) : Person 43, Other guy 9
Battle 352: Other guy (KH) DEFEATED Person (3C) : Person 42, Other guy 10
Battle 353: Person (8S) DEFEATED Other guy (5D) : Person 43, Other guy 9
Battle 354: Other guy (QH) DEFEATED Person (6S) : Person 42, Other guy 10
Battle 355: Person (QD) DEFEATED Other guy (2H) : Person 43, Other guy 9
Battle 356: Other guy (AC) DEFEATED Person (9S) : Person 42, Other guy 10
Battle 357: Person (8C) DEFEATED Other guy (4C) : Person 43, Other guy 9
Battle 358: Other guy (QC) DEFEATED Person (2S) : Person 42, Other guy 10
Battle 359: Person (7S) DEFEATED Other guy (2C) : Person 43, Other guy 9
Battle 360: Other guy (TH) DEFEATED Person (5S) : Person 42, Other guy 10
Battle 361: Person (AD) DEFEATED Other guy (3C) : Person 43, Other guy 9
Battle 362: Other guy (KH) DEFEATED Person (7H) : Person 42, Other guy 10
Battle 363: Person (9C) DEFEATED Other guy (6S) : Person 43, Other guy 9
Battle 364: Other guy (QH) DEFEATED Person (6D) : Person 42, Other guy 10
Battle 365: Person (KD) DEFEATED Other guy (9S) : Person 43, Other guy 9
Battle 366: Other guy (AC) DEFEATED Person (4S) : Person 42, Other guy 10
Battle 367: Person (TS) DEFEATED Other guy (2S) : Person 43, Other guy 9
Battle 368: Other guy (QC) DEFEATED Person (5H) : Person 42, Other guy 10
Battle 369: Person (7C) DEFEATED Other guy (5S) : Person 43, Other guy 9
Battle 370: Other guy (TH) DEFEATED Person (6C) : Person 42, Other guy 10
Battle 371: Person (JD) DEFEATED Other guy (7H) : Person 43, Other guy 9
Battle 372: Other guy (KH) DEFEATED Person (5C) : Person 42, Other guy 10
Battle 373: Person (KS) DEFEATED Other guy (6D) : Person 43, Other guy 9
Battle 374: Other guy (QH) DEFEATED Person (8H) : Person 42, Other guy 10
Battle 375: Person (QS) DEFEATED Other guy (4S) : Person 43, Other guy 9
Battle 376: Other guy (AC) DEFEATED Person (TD) : Person 42, Other guy 10
Battle 377: Person (9H) DEFEATED Other guy (5H) : Person 43, Other guy 9
Battle 378: Other guy (QC) DEFEATED Person (3H) : Person 42, Other guy 10
Battle 379: Person (JC) DEFEATED Other guy (6C) : Person 43, Other guy 9
Battle 380: Other guy (TH) DEFEATED Person (4H) : Person 42, Other guy 10
Battle 381: Person (JH) DEFEATED Other guy (5C) : Person 43, Other guy 9
Battle 382: Other guy (KH) DEFEATED Person (2D) : Person 42, Other guy 10
Battle 383: Person (9D) DEFEATED Other guy (8H) : Person 43, Other guy 9
Battle 384: Other guy (QH) DEFEATED Person (8D) : Person 42, Other guy 10
Battle 385: Person (AH) DEFEATED Other guy (TD) : Person 43, Other guy 9
Battle 386: Other guy (AC) DEFEATED Person (4D) : Person 42, Other guy 10
Battle 387: Person (KC) DEFEATED Other guy (3H) : Person 43, Other guy 9
Battle 388: Other guy (QC) DEFEATED Person (3D) : Person 42, Other guy 10
Battle 389: Person (TC) DEFEATED Other guy (4H) : Person 43, Other guy 9
Battle 390: Other guy (TH) DEFEATED Person (3S) : Person 42, Other guy 10
Battle 391: Person (JS) DEFEATED Other guy (2D) : Person 43, Other guy 9
Battle 392: Other guy (KH) DEFEATED Person (6H) : Person 42, Other guy 10
Battle 393: Person (AS) DEFEATED Other guy (8D) : Person 43, Other guy 9
Battle 394: Other guy (QH) DEFEATED Person (7D) : Person 42, Other guy 10
Battle 395: Person (8S) DEFEATED Other guy (4D) : Person 43, Other guy 9
Battle 396: Other guy (AC) DEFEATED Person (5D) : Person 42, Other guy 10
Battle 397: Person (QD) DEFEATED Other guy (3D) : Person 43, Other guy 9
Battle 398: Other guy (QC) DEFEATED Person (2H) : Person 42, Other guy 10
Battle 399: Person (8C) DEFEATED Other guy (3S) : Person 43, Other guy 9
Battle 400: Other guy (TH) DEFEATED Person (4C) : Person 42, Other guy 10
Battle 401: Person (7S) DEFEATED Other guy (6H) : Person 43, Other guy 9
Battle 402: Other guy (KH) DEFEATED Person (2C) : Person 42, Other guy 10
Battle 403: Person (AD) DEFEATED Other guy (7D) : Person 43, Other guy 9
Battle 404: Other guy (QH) DEFEATED Person (3C) : Person 42, Other guy 10
Battle 405: Person (9C) DEFEATED Other guy (5D) : Person 43, Other guy 9
Battle 406: Other guy (AC) DEFEATED Person (6S) : Person 42, Other guy 10
Battle 407: Person (KD) DEFEATED Other guy (2H) : Person 43, Other guy 9
Battle 408: Other guy (QC) DEFEATED Person (9S) : Person 42, Other guy 10
Battle 409: Person (TS) DEFEATED Other guy (4C) : Person 43, Other guy 9
Battle 410: Other guy (TH) DEFEATED Person (2S) : Person 42, Other guy 10
Battle 411: Person (7C) DEFEATED Other guy (2C) : Person 43, Other guy 9
Battle 412: Other guy (KH) DEFEATED Person (5S) : Person 42, Other guy 10
Battle 413: Person (JD) DEFEATED Other guy (3C) : Person 43, Other guy 9
Battle 414: Other guy (QH) DEFEATED Person (7H) : Person 42, Other guy 10
Battle 415: Person (KS) DEFEATED Other guy (6S) : Person 43, Other guy 9
Battle 416: Other guy (AC) DEFEATED Person (6D) : Person 42, Other guy 10
Battle 417: Person (QS) DEFEATED Other guy (9S) : Person 43, Other guy 9
Battle 418: Other guy (QC) DEFEATED Person (4S) : Person 42, Other guy 10
Battle 419: Person (9H) DEFEATED Other guy (2S) : Person 43, Other guy 9
Battle 420: Other guy (TH) DEFEATED Person (5H) : Person 42, Other guy 10
Battle 421: Person (JC) DEFEATED Other guy (5S) : Person 43, Other guy 9
Battle 422: Other guy (KH) DEFEATED Person (6C) : Person 42, Other guy 10
Battle 423: Person (JH) DEFEATED Other guy (7H) : Person 43, Other guy 9
Battle 424: Other guy (QH) DEFEATED Person (5C) : Person 42, Other guy 10
Battle 425: Person (9D) DEFEATED Other guy (6D) : Person 43, Other guy 9
Battle 426: Other guy (AC) DEFEATED Person (8H) : Person 42, Other guy 10
Battle 427: Person (AH) DEFEATED Other guy (4S) : Person 43, Other guy 9
Battle 428: Other guy (QC) DEFEATED Person (TD) : Person 42, Other guy 10
Battle 429: Person (KC) DEFEATED Other guy (5H) : Person 43, Other guy 9
Battle 430: Other guy (TH) DEFEATED Person (3H) : Person 42, Other guy 10
Battle 431: Person (TC) DEFEATED Other guy (6C) : Person 43, Other guy 9
Battle 432: Other guy (KH) DEFEATED Person (4H) : Person 42, Other guy 10
Battle 433: Person (JS) DEFEATED Other guy (5C) : Person 43, Other guy 9
Battle 434: Other guy (QH) DEFEATED Person (2D) : Person 42, Other guy 10
Battle 435: Person (AS) DEFEATED Other guy (8H) : Person 43, Other guy 9
Battle 436: Other guy (AC) DEFEATED Person (8D) : Person 42, Other guy 10
Battle 437: Other guy (TD) DEFEATED Person (8S) : Person 41, Other guy 11
Battle 438: Other guy (QC) DEFEATED Person (4D) : Person 40, Other guy 12
Battle 439: Person (QD) DEFEATED Other guy (3H) : Person 41, Other guy 11
Battle 440: Other guy (TH) DEFEATED Person (3D) : Person 40, Other guy 12
Battle 441: Person (8C) DEFEATED Other guy (4H) : Person 41, Other guy 11
Battle 442: Other guy (KH) DEFEATED Person (3S) : Person 40, Other guy 12
Battle 443: Person (7S) DEFEATED Other guy (2D) : Person 41, Other guy 11
Battle 444: Other guy (QH) DEFEATED Person (6H) : Person 40, Other guy 12
Battle 445: Person (AD) DEFEATED Other guy (8D) : Person 41, Other guy 11
Battle 446: Other guy (AC) DEFEATED Person (7D) : Person 40, Other guy 12
Battle 447: Person (9C) DEFEATED Other guy (8S) : Person 41, Other guy 11
Battle 448: Other guy (TD) DEFEATED Person (5D) : Person 40, Other guy 12
Battle 449: Person (KD) DEFEATED Other guy (4D) : Person 41, Other guy 11
Battle 450: Other guy (QC) DEFEATED Person (2H) : Person 40, Other guy 12
Battle 451: Person (TS) DEFEATED Other guy (3D) : Person 41, Other guy 11
Battle 452: Other guy (TH) DEFEATED Person (4C) : Person 40, Other guy 12
Battle 453: Person (7C) DEFEATED Other guy (3S) : Person 41, Other guy 11
Battle 454: Other guy (KH) DEFEATED Person (2C) : Person 40, Other guy 12
Battle 455: Person (JD) DEFEATED Other guy (6H) : Person 41, Other guy 11
Battle 456: Other guy (QH) DEFEATED Person (3C) : Person 40, Other guy 12
Battle 457: Person (KS) DEFEATED Other guy (7D) : Person 41, Other guy 11
Battle 458: Other guy (AC) DEFEATED Person (6S) : Person 40, Other guy 12
Battle 459: Person (QS) DEFEATED Other guy (5D) : Person 41, Other guy 11
Battle 460: Other guy (TD) DEFEATED Person (9S) : Person 40, Other guy 12
Battle 461: Person (9H) DEFEATED Other guy (2H) : Person 41, Other guy 11
Battle 462: Other guy (QC) DEFEATED Person (2S) : Person 40, Other guy 12
Battle 463: Person (JC) DEFEATED Other guy (4C) : Person 41, Other guy 11
Battle 464: Other guy (TH) DEFEATED Person (5S) : Person 40, Other guy 12
Battle 465: Person (JH) DEFEATED Other guy (2C) : Person 41, Other guy 11
Battle 466: Other guy (KH) DEFEATED Person (7H) : Person 40, Other guy 12
Battle 467: Person (9D) DEFEATED Other guy (3C) : Person 41, Other guy 11
Battle 468: Other guy (QH) DEFEATED Person (6D) : Person 40, Other guy 12
Battle 469: Person (AH) DEFEATED Other guy (6S) : Person 41, Other guy 11
Battle 470: Other guy (AC) DEFEATED Person (4S) : Person 40, Other guy 12
Battle 471: Person (KC) DEFEATED Other guy (9S) : Person 41, Other guy 11
Battle 472: Other guy (TD) DEFEATED Person (5H) : Person 40, Other guy 12
Battle 473: Person (TC) DEFEATED Other guy (2S) : Person 41, Other guy 11
Battle 474: Other guy (QC) DEFEATED Person (6C) : Person 40, Other guy 12
Battle 475: Person (JS) DEFEATED Other guy (5S) : Person 41, Other guy 11
Battle 476: Other guy (TH) DEFEATED Person (5C) : Person 40, Other guy 12
